Sample Name,Sample Position,Data File
StartUP,P1-F9,20211026_StartUP.d
Blank_01,P1-F9,20211026_Blank_01.d
Blank_02,P1-F9,20211026_Blank_02.d
A1_rep01,P1-A1,20211026_A1_rep01.d
HomoSerine,P2-A1,20211026_HomoSerine.d
A2_rep01,P1-A2,20211026_A2_rep01.d
AcetylCoA,P2-A2,20211026_AcetylCoA.d
A3_rep01,P1-A3,20211026_A3_rep01.d
SuccCoA,P2-A3,20211026_SuccCoA.d
A4_rep01,P1-A4,20211026_A4_rep01.d
THF,P2-A4,20211026_THF.d
A5_rep01,P1-A5,20211026_A5_rep01.d
GDP,P2-A5,20211026_GDP.d
A6_rep01,P1-A6,20211026_A6_rep01.d
ATP,P2-B1,20211026_ATP.d
B1_rep01,P1-A7,20211026_B1_rep01.d
Malate,P2-C1,20211026_Malate.d
B2_rep01,P1-A8,20211026_B2_rep01.d
Succinate,P2-C2,20211026_Succinate.d
B3_rep01,P1-A9,20211026_B3_rep01.d
Galactose,P2-C3,20211026_Galactose.d
B4_rep01,P1-B1,20211026_B4_rep01.d
Pyruvate,P2-C4,20211026_Pyruvate.d
B5_rep01,P1-B2,20211026_B5_rep01.d
Aspartate,P2-C5,20211026_Aspartate.d
B6_rep01,P1-B3,20211026_B6_rep01.d
Citrate,P2-C6,20211026_Citrate.d
C1_rep01,P1-B4,20211026_C1_rep01.d
Isocitrate,P2-C7,20211026_Isocitrate.d
C2_rep01,P1-B5,20211026_C2_rep01.d
4-amin-butan,P2-C8,20211026_4-amin-butan.d
C3_rep01,P1-B6,20211026_C3_rep01.d
SuccSemiald,P2-C9,20211026_SuccSemiald.d
C4_rep01,P1-B7,20211026_C4_rep01.d
Glucose,P2-D1,20211026_Glucose.d
C5_rep01,P1-B8,20211026_C5_rep01.d
N-Acet-L-Glut,P2-D2,20211026_N-Acet-L-Glut.d
C6_rep01,P1-B9,20211026_C6_rep01.d
Fumarate,P2-D3,20211026_Fumarate.d
D1_rep01,P1-C1,20211026_D1_rep01.d
Ornithine,P2-D4,20211026_Ornithine.d
D2_rep01,P1-C2,20211026_D2_rep01.d
Glutamate,P2-D5,20211026_Glutamate.d
D3_rep01,P1-C3,20211026_D3_rep01.d
Alpha-ketoglut,P2-D6,20211026_Alpha-ketoglut.d
D4_rep01,P1-C4,20211026_D4_rep01.d
Methionine,P2-D7,20211026_Methionine.d
D5_rep01,P1-C5,20211026_D5_rep01.d
Beta-alanine,P2-D8,20211026_Beta-alanine.d
D6_rep01,P1-C6,20211026_D6_rep01.d
STDPool,P2-E1,20211026_STDPool.d
CTRL_F_rep01,P1-C7,20211026_CTRL_F_rep01.d
STDPool+Yeast,P2-E2,20211026_STDPool+Yeast.d
CTRL_S_rep01,P1-C8,20211026_CTRL_S_rep01.d
LCMS-H2O+Yeast,P2-E3,20211026_LCMS-H2O+Yeast.d
Blank_30,P1-F9,20211026_Blank_30.d
Blank_31,P1-F9,20211026_Blank_31.d
Blank_32,P1-F9,20211026_Blank_32.d
ShutDown,P1-F9,20211026_ShutDown.d